post_uri,reply_uri,reply_author,reply_text,reply_createdAt
at://did:plc:tyaenxzmiwn7ls3p6zfec5ah/app.bsky.feed.post/3lga2mq3l4s2h,at://did:plc:mggm3dwucadbtqp5fbtpgpo2/app.bsky.feed.post/3lgacvjd7sk2d,did:plc:mggm3dwucadbtqp5fbtpgpo2,Jill is a Putin hugger too,2025-01-21T07:20:42.251Z
at://did:plc:tyaenxzmiwn7ls3p6zfec5ah/app.bsky.feed.post/3lga2mq3l4s2h,at://did:plc:jjpszth7snoc62m4fwlyvdb2/app.bsky.feed.post/3lga7c4rrs225,did:plc:jjpszth7snoc62m4fwlyvdb2,"You realize that even if all of the Jill Stein voters voted for Kamala, she still would have lost, right? She only got like 600k votes lol.",2025-01-21T06:16:10.337Z
at://did:plc:tyaenxzmiwn7ls3p6zfec5ah/app.bsky.feed.post/3lga2mq3l4s2h,at://did:plc:hpvmd2nkkkbmjh6y4k3xq3et/app.bsky.feed.post/3lga3bmzp7s2j,did:plc:hpvmd2nkkkbmjh6y4k3xq3et,Cosigned,2025-01-21T05:04:18.851Z
at://did:plc:tyaenxzmiwn7ls3p6zfec5ah/app.bsky.feed.post/3lga2mq3l4s2h,at://did:plc:dj4hi7inhm34asul2xencvhw/app.bsky.feed.post/3lga2u5d4ss23,did:plc:dj4hi7inhm34asul2xencvhw,"A tRump humper, more.",2025-01-21T04:56:46.176Z
at://did:plc:tyaenxzmiwn7ls3p6zfec5ah/app.bsky.feed.post/3lga2mq3l4s2h,at://did:plc:aw4q2f4y3nyznfybms4ud5fj/app.bsky.feed.post/3lga2xapzus2s,did:plc:aw4q2f4y3nyznfybms4ud5fj,Stein's Green party isn't even a real green party. The international Org of Green Parties kicked them out bc they had nothing in common,2025-01-21T04:58:30.403Z
at://did:plc:oywelfzuhsji2xliuznkpq6z/app.bsky.feed.post/3lga2l4qxnk2k,at://did:plc:fjxd6b5md42nx6zppxq63ww3/app.bsky.feed.post/3lga2zx3ofk2g,did:plc:fjxd6b5md42nx6zppxq63ww3,"Those fringe cases didn't swing the election.  Blame Biden for running again and not passing the torch until there was 3 months left.  People literally didn't know who was running until election day

www.sfgate.com/tech/article...",2025-01-21T05:00:00.966Z
at://did:plc:oywelfzuhsji2xliuznkpq6z/app.bsky.feed.post/3lga2l4qxnk2k,at://did:plc:aaifs6bjt52xgeqhng66viwy/app.bsky.feed.post/3lga2wcojd223,did:plc:aaifs6bjt52xgeqhng66viwy,Trump got the ceasefire before he was even president. Biden didn’t do anything to stop it.,2025-01-21T04:57:58.901Z
at://did:plc:myq7dvonxhde4s6fqrjvq6sa/app.bsky.feed.post/3lga2ahf64s27,at://did:plc:rxw4nxsfsmnyulcyltwi4j6r/app.bsky.feed.post/3lgahizak5c2s,did:plc:rxw4nxsfsmnyulcyltwi4j6r,"It wasn't her.... go look up how many didn't vote.... 90 million, 68 million did....
Take what you want from it. But I tend to think some of them quit playing because it's always been rigged.",2025-01-21T08:43:11.442Z
at://did:plc:epd72ls25iootmxzd44ssxdl/app.bsky.feed.post/3lg7yzx72hc2u,at://did:plc:htlmutfnum4buv6vvpngt6ic/app.bsky.feed.post/3lga4uo3k722a,did:plc:htlmutfnum4buv6vvpngt6ic,Your grammar speaks volumes,2025-01-21T05:32:51.237Z
at://did:plc:pfa4prlytdiinlformhbmcty/app.bsky.feed.post/3lg7yxzenuc2b,at://did:plc:myq7dvonxhde4s6fqrjvq6sa/app.bsky.feed.post/3lga2ahf64s27,did:plc:myq7dvonxhde4s6fqrjvq6sa,"Where’s Jill Stein now? Oh, that’s right, she crawled back in her fucking hole and will reemerge in 4 years to pretend like she’s running for president and yet again, she’ll dupe just enough of the population to siphon off votes from the Dem candidate.",2025-01-21T04:45:45.639Z
